id_empresa;total_recebido;num_transacoes_recebidas;num_clientes_unicos;total_pago;num_transacoes_pagas;num_fornecedores_unicos;fluxo_caixa_liquido;ticket_medio_recebido;ticket_medio_pago;faturamento;setor_cnae;cluster;momento_empresa
CNPJ_00001;481031,0;39,0;17,0;372298,0;36,0;12,0;108733,0;12334,128205128205;10341,611111111111;289255,0;Extração de minério de ferro;0;Declínio
CNPJ_00002;0,0;0,0;0,0;18641,0;9,0;3,0;-18641,0;0,0;2071,222222222222;832495,0;Geração de energia elétrica;0;Declínio
CNPJ_00003;329,0;1,0;1,0;7086,0;6,0;2,0;-6757,0;329,0;1181,0;262869,0;Cultivo de soja;0;Declínio
CNPJ_00004;0,0;0,0;0,0;38,0;1,0;1,0;-38,0;0,0;38,0;2017818,0;Transporte ferroviário de carga;0;Declínio
CNPJ_00005;0,0;0,0;0,0;18579,0;9,0;3,0;-18579,0;0,0;2064,3333333333335;82371,0;Produção cinematográfica;0;Declínio
CNPJ_00006;0,0;0,0;0,0;8580,0;1,0;1,0;-8580,0;0,0;8580,0;18178716,0;Comércio varejista de combustíveis;0;Declínio
CNPJ_00007;3352,0;6,0;2,0;1421,0;3,0;1,0;1931,0;558,6666666666666;473,6666666666667;1701028,0;Distribuição de energia elétrica;0;Declínio
CNPJ_00008;0,0;0,0;0,0;32,0;1,0;1,0;-32,0;0,0;32,0;1002628,0;Extração de petróleo e gás natural;0;Declínio
CNPJ_00009;31995,0;2,0;2,0;4477739,0;99,0;33,0;-4445744,0;15997,5;45229,68686868687;166480,0;Administração pública;0;Declínio
CNPJ_00010;650,0;3,0;1,0;3257,0;9,0;3,0;-2607,0;216,66666666666666;361,8888888888889;2233586,0;Produção de ferro-gusa;0;Declínio
CNPJ_00011;71,0;1,0;1,0;762,0;9,0;3,0;-691,0;71,0;84,66666666666667;31803040,0;Atividades hospitalares;0;Declínio
CNPJ_00012;0,0;0,0;0,0;254,0;3,0;1,0;-254,0;0,0;84,66666666666667;656692,0;Comércio atacadista de bebidas;0;Declínio
CNPJ_00013;132564,0;7,0;3,0;13244128,0;202,0;67,0;-13111564,0;18937,714285714286;65564,9900990099;2610501,0;Engenharia civil;2;Expansão
CNPJ_00014;79,0;1,0;1,0;31,0;1,0;1,0;48,0;79,0;31,0;185527,0;Educação superior;0;Declínio
CNPJ_00015;97647,0;14,0;8,0;197488,0;28,0;9,0;-99841,0;6974,785714285715;7053,142857142857;1969674,0;Restaurantes e similares;0;Declínio
CNPJ_00016;0,0;0,0;0,0;17,0;1,0;1,0;-17,0;0,0;17,0;362664,0;Comércio atacadista de alimentos;0;Declínio
